US Diversity,3,
ART 2040,3,Humanities
ART 2050,3,Humanities
ART 2060,3,Humanities
CRCJ 4750,3,
CRCJ 4760,3,
ENGL 2470,3,Humanities
ENGL 3290,3,Humanities
FREN 1110,5,Humanities
GEOG 1000,3,Social
GEOG 1020,3,Social
GERM 1110,5,Humanities
HED 4650,3,
HIST 1000,3,Humanities
HIST 1010,3,Humanities
HIST 2190,3,Humanities
IASC 1100,3,
INST 2130,3,
ISQA 3420,3,
JAPN 1110,5,Humanities
LLS 1000,3,Social
LLS 2800,3,Humanities
LLS 2900,3,Social
LLS 3680,3,
MUS 1080,3,Humanities
PHIL 2040,3,
PSCI 1000,3,Social
PSCI 2210,3,Social
PSCI 2500,3,Social
PSCI 3500,3,
PSCI 3640,3,
PSCI 3660,3,
PSCI 3680,3,
PSCI 3700,3,
PSCI 4200,3,
PSCI 4520,3,
PSCI 4620,3,
RELI 1010,3,Humanities
RELI 2190,3,
RUSS 1110,5,Humanities
SOC 2190,3,Humanities
SOC 3950,3,
SOC 4250,3,
SPAN 1110,5,Humanities
SPCH 4570,3,
